use 1510 1699,,use 1700 1799,,use 1800 1899
Action,Bias,Action,Bias,Action,Bias
endear,0.141,pervert,0.117,exhibit,0.129
parch,0.138,chant,0.114,model,0.126
abate,0.137,shudder,0.114,arrive,0.123
scend,0.136,impregnate,0.113,emerge,0.121
seethe,0.136,yearn,0.113,toy,0.121
neglect,0.135,parch,0.113,fashion,0.121
resound,0.135,spy,0.112,forecast,0.118
excite,0.135,accurse,0.112,last,0.117
bereave,0.135,ripple,0.111,brand,0.116
mitigate,0.135,uncover,0.111,surprise,0.115
efface,0.134,imbibe,0.111,unfold,0.115
delay,0.134,import,0.111,diversify,0.114
enclose,0.134,twinkle,0.111,people,0.113
brood,0.134,accuse,0.110,patch,0.112
daunt,0.134,dwindle,0.109,update,0.112
bequeath,0.133,agree,0.109,obscure,0.110
abhor,0.133,settle,0.109,web,0.110
remit,0.133,correspond,0.109,crackle,0.110
ordain,0.133,suspend,0.108,content,0.110
profess,0.133,circulate,0.108,tend,0.109
sear,0.133,wink,0.108,style,0.109
banish,0.133,emit,0.108,license,0.109
confess,0.133,remit,0.108,card,0.109
seel,0.133,caress,0.108,collect,0.108
apprehend,0.133,confirm,0.107,sling,0.107
procure,0.133,intend,0.107,remember,0.107
sow,0.133,fool,0.107,disappoint,0.107
doubt,0.132,amaze,0.107,cast,0.107
deface,0.132,scour,0.107,operate,0.107
strive,0.132,awaken,0.107,track,0.106
affirm,0.132,conceive,0.107,fringe,0.106
retain,0.132,suffer,0.107,work,0.106
flit,0.132,inhabit,0.107,cure,0.106
descry,0.132,slave,0.106,mind,0.106
declare,0.132,prove,0.106,reappear,0.105
devise,0.132,advise,0.106,record,0.105
vindicate,0.132,denounce,0.106,cool,0.105
bid,0.132,dissatisfy,0.106,crowd,0.105
perceive,0.132,imply,0.106,screen,0.105
scruple,0.132,persuade,0.106,fit,0.105
displease,0.132,pluck,0.106,air,0.105
widow,0.132,beckon,0.106,watch,0.104
cleave,0.132,lurk,0.106,size,0.104
enlarge,0.132,befit,0.106,rig,0.104
discourse,0.132,whiten,0.105,top,0.103
avow,0.132,squire,0.105,march,0.102
commend,0.132,scend,0.105,concert,0.102
undertake,0.132,persist,0.105,accompany,0.102
bosom,0.132,assure,0.105,traverse,0.102
deplore,0.132,cheat,0.105,fair,0.102
vow,0.132,comply,0.105,tax,0.102
slacken,0.132,confess,0.105,range,0.101
reproach,0.132,provoke,0.105,dress,0.101
conceive,0.132,effect,0.105,band,0.101
shun,0.132,bore,0.105,care,0.101
teem,0.132,scourge,0.105,conflict,0.100
languish,0.132,preclude,0.104,scale,0.100
thrive,0.132,whisper,0.104,inspect,0.099
promise,0.132,conform,0.104,upgrade,0.099
adore,0.132,testify,0.104,bloom,0.098
forbear,0.132,halt,0.104,color,0.098
hew,0.132,bespeak,0.104,stand,0.098
usurp,0.132,lave,0.104,design,0.098
comply,0.132,encroach,0.104,smuggle,0.098
repose,0.132,appeal,0.104,interest,0.098
bestow,0.131,exempt,0.104,act,0.098
prospect,0.131,lash,0.104,use,0.098
vanish,0.131,refinance,0.104,detail,0.097
bespeak,0.131,anoint,0.104,entertain,0.097
owe,0.131,inaugurate,0.104,reign,0.097
govern,0.131,endow,0.104,discontinue,0.097
meddle,0.131,crave,0.104,busy,0.097
tremble,0.131,abhor,0.104,commemorate,0.097
dissolve,0.131,lend,0.104,purpose,0.096
tarry,0.131,baptize,0.104,address,0.096
inflame,0.131,divest,0.104,eye,0.096
derive,0.131,devise,0.104,name,0.096
adjourn,0.131,endear,0.104,verge,0.096
conclude,0.131,deprive,0.104,better,0.096
forfeit,0.131,inspire,0.104,pretend,0.096
deceive,0.131,invest,0.104,overflow,0.096
nourish,0.131,displease,0.104,pose,0.096
render,0.131,grant,0.104,officiate,0.096
afflict,0.131,mend,0.104,commute,0.095
suffer,0.131,beset,0.104,channel,0.095
humble,0.131,condescend,0.104,pack,0.095
divine,0.131,deface,0.104,file,0.095
quarrel,0.131,delineate,0.103,cabin,0.095
conspire,0.131,slacken,0.103,discount,0.095
fin,0.131,thrive,0.103,smell,0.095
blot,0.131,enumerate,0.103,achieve,0.094
condemn,0.131,forgive,0.103,mass,0.094
impart,0.131,intersperse,0.103,treat,0.094
boast,0.131,daunt,0.103,author,0.094
pardon,0.131,debase,0.103,railroad,0.094
dedicate,0.131,vow,0.103,time,0.094
chafe,0.131,hope,0.103,pertain,0.094
provoke,0.131,indulge,0.103,object,0.094
ail,0.131,divide,0.103,applaud,0.093
dispose,0.131,relate,0.103,listen,0.093
prevail,0.131,exemplify,0.103,trail,0.093
squire,0.131,boil,0.103,stuff,0.093
martyr,0.131,widow,0.103,stride,0.093
grieve,0.131,trace,0.103,picture,0.093
befit,0.131,wend,0.103,huddle,0.092
ripen,0.131,bind,0.103,exemplify,0.092
plead,0.131,incite,0.103,structure,0.092
supplant,0.131,shipwreck,0.103,appreciate,0.092
furnish,0.131,coincide,0.103,happen,0.092
exalt,0.131,migrate,0.103,appear,0.092
rend,0.131,neglect,0.103,touch,0.092
betray,0.131,befall,0.103,entail,0.092
laud,0.131,inculcate,0.103,project,0.092
decree,0.131,seed,0.103,meet,0.092
ting,0.131,contribute,0.103,fan,0.092
swell,0.131,promulgate,0.103,shelter,0.092
wag,0.131,bequeath,0.102,addict,0.091
seize,0.131,prompt,0.102,access,0.091
acquaint,0.130,haunt,0.102,bay,0.091
quench,0.130,affix,0.102,strand,0.091
wrest,0.130,rhyme,0.102,rock,0.091
lord,0.130,subjoin,0.102,recess,0.091
divert,0.130,scruple,0.102,travel,0.091
dwell,0.130,trample,0.102,voice,0.091
persist,0.130,plot,0.102,offer,0.091
lave,0.130,enlarge,0.102,host,0.090
rout,0.130,mar,0.102,character,0.090
obey,0.130,teem,0.102,station,0.090
groan,0.130,temper,0.102,glow,0.090
appoint,0.130,recede,0.102,prevent,0.090
mortify,0.130,propagate,0.102,look,0.090
torment,0.130,redden,0.102,plunge,0.090
beget,0.130,dilapidate,0.102,warehouse,0.089
impute,0.130,adduce,0.102,light,0.089
vex,0.130,deplore,0.102,fruit,0.089
confine,0.130,infest,0.102,body,0.089
stagger,0.130,heave,0.102,advance,0.089
dishearten,0.130,betroth,0.102,boost,0.089
enrich,0.130,sear,0.102,experience,0.089
murmur,0.130,resent,0.102,communicate,0.089
reap,0.130,rein,0.102,stunt,0.089
invoke,0.130,par,0.102,fix,0.089
moor,0.130,blacken,0.102,bag,0.089
bind,0.130,surmount,0.102,market,0.089
beset,0.130,berth,0.102,steam,0.089
covet,0.130,profess,0.102,crew,0.089
flatter,0.130,exert,0.102,show,0.088
heed,0.130,depress,0.102,preserve,0.088
hum,0.130,flatter,0.102,shape,0.088
peal,0.130,destine,0.102,transform,0.088
oblige,0.130,conquer,0.102,minister,0.088
admit,0.130,entrust,0.102,frame,0.088
furrow,0.130,sup,0.102,monitor,0.088
spur,0.130,beget,0.102,close,0.088
feign,0.130,efface,0.102,gear,0.088
mar,0.130,ting,0.102,implement,0.088
exceed,0.130,interpose,0.102,share,0.088
assail,0.130,avow,0.102,signify,0.088
forgive,0.130,reject,0.102,disguise,0.088
intrude,0.130,arise,0.102,create,0.087
quell,0.129,extort,0.102,tie,0.087
overwhelm,0.129,blot,0.102,service,0.087
discharge,0.129,cleave,0.102,message,0.087
fool,0.129,hint,0.102,grin,0.087
mend,0.129,bestow,0.102,coke,0.087
prolong,0.129,enlighten,0.102,spring,0.087
compose,0.129,boast,0.102,horse,0.087
situate,0.129,stow,0.102,front,0.087
bore,0.129,darken,0.102,back,0.087
compel,0.129,retain,0.102,intimate,0.087
precipitate,0.129,derive,0.102,help,0.087
resign,0.129,dispense,0.102,peer,0.087
soften,0.129,prevail,0.102,fancy,0.086
woo,0.129,situate,0.102,benefit,0.086
baffle,0.129,conclude,0.102,ruffle,0.086
gallop,0.129,assert,0.102,compete,0.086
wilt,0.129,strain,0.102,attest,0.086
intrigue,0.128,pledge,0.102,compress,0.086
trample,0.128,confine,0.102,flash,0.086
droop,0.128,procure,0.102,ride,0.086
reign,0.128,exalt,0.102,load,0.086
assent,0.128,render,0.102,mix,0.085
depose,0.128,meddle,0.102,respond,0.085
strew,0.128,revive,0.102,root,0.085
gall,0.128,discourse,0.102,evade,0.085
quiver,0.128,enliven,0.102,do,0.085
engender,0.128,admit,0.102,tile,0.085
stow,0.128,soften,0.102,loiter,0.085
sojourn,0.128,perceive,0.102,breakfast,0.085
yoke,0.128,inscribe,0.102,distress,0.085
muster,0.128,affirm,0.102,fast,0.085
dispense,0.128,exult,0.102,unload,0.085
devour,0.128,exceed,0.102,cover,0.085
conquer,0.128,lament,0.102,smile,0.085
inspire,0.128,forecast,0.102,distance,0.085
inflict,0.127,spur,0.102,gap,0.085
rivet,0.127,ail,0.102,date,0.085
accord,0.127,shun,0.102,slight,0.085
fend,0.127,inflame,0.102,haul,0.084
enliven,0.127,heighten,0.102,breed,0.084
perplex,0.127,discharge,0.102,stroll,0.084
manifest,0.126,nourish,0.102,list,0.084
tempt,0.126,seel,0.102,brief,0.084
frighten,0.126,revolt,0.102,parade,0.084
interpose,0.126,obey,0.101,advertise,0.084
throng,0.126,prospect,0.101,store,0.084
quicken,0.126,govern,0.101,display,0.084
restore,0.126,forbear,0.101,wave,0.084
refine,0.126,deceive,0.101,point,0.084
ennoble,0.126,hew,0.101,stretch,0.084
gratify,0.126,skirmish,0.101,group,0.084
gleam,0.126,doubt,0.101,face,0.084
strengthen,0.125,perplex,0.101,winter,0.084
stifle,0.125,digest,0.101,view,0.083
thrust,0.125,diffuse,0.101,own,0.083
heave,0.125,undertake,0.101,entice,0.083
discontent,0.125,manifest,0.101,pride,0.083
lengthen,0.125,assent,0.101,prey,0.083
utter,0.125,proportion,0.101,trip,0.083
enjoin,0.125,nod,0.101,adapt,0.083
variegate,0.125,condemn,0.101,second,0.083
spark,0.125,bang,0.101,arrange,0.083
plunder,0.124,excite,0.101,hold,0.083
undergo,0.124,undergo,0.101,begin,0.083
grant,0.124,dwell,0.101,chair,0.083
befall,0.124,defy,0.101,search,0.083
heighten,0.124,transact,0.101,occur,0.083
thwart,0.124,gall,0.101,migrate,0.083
betroth,0.124,seethe,0.101,premise,0.083
inhabit,0.124,smite,0.101,think,0.083
suspend,0.124,vanish,0.101,credit,0.082
augment,0.124,commend,0.101,impress,0.082
grudge,0.124,lord,0.101,ornament,0.082
wail,0.123,prolong,0.101,shed,0.082
besiege,0.123,strive,0.101,lot,0.082
proportion,0.123,betray,0.101,participate,0.082
taper,0.123,grieve,0.101,paint,0.082
assure,0.123,charter,0.101,cart,0.082
drench,0.123,bargain,0.101,stream,0.082
grumble,0.122,reckon,0.101,attract,0.082
dwindle,0.122,impute,0.101,build,0.082
seclude,0.122,regard,0.101,parallel,0.082
falter,0.122,woo,0.101,shock,0.082
confide,0.121,exclaim,0.101,reason,0.082
deserve,0.121,precede,0.101,camp,0.082
expel,0.121,promise,0.101,castle,0.082
conceal,0.121,fin,0.101,investigate,0.082
approve,0.121,overrun,0.101,decorate,0.082
pluck,0.120,publish,0.101,express,0.081
depute,0.120,owe,0.101,route,0.081
darken,0.120,tarry,0.101,wish,0.081
affect,0.120,contradict,0.101,wind,0.081
fasten,0.120,martyr,0.101,sport,0.081
impend,0.120,declare,0.101,mature,0.081
waft,0.119,tenant,0.101,skin,0.081
defy,0.119,deem,0.101,seat,0.081
molest,0.119,bosom,0.101,field,0.081
dilate,0.119,mitigate,0.101,cruise,0.081
din,0.119,reproach,0.101,thrill,0.081
entice,0.119,enjoin,0.101,drive,0.081
retreat,0.119,accord,0.101,sadden,0.081
deny,0.119,perpetrate,0.101,course,0.081
reconcile,0.118,strew,0.101,bounce,0.081
propagate,0.118,rend,0.101,embarrass,0.080
elate,0.118,quarrel,0.101,present,0.080
withhold,0.118,murmur,0.101,tree,0.080
dignify,0.118,elate,0.101,love,0.080
deafen,0.118,diminish,0.101,steer,0.080
consecrate,0.117,dispose,0.101,impact,0.080
voyage,0.117,seize,0.101,lounge,0.080
divest,0.117,gratify,0.101,perfume,0.080
dispatch,0.117,preside,0.101,foam,0.080
accede,0.117,voyage,0.101,incorporate,0.080
haunt,0.117,recur,0.101,react,0.080
remonstrate,0.117,resound,0.101,line,0.080
defile,0.117,throng,0.101,resemble,0.080
exempt,0.117,depute,0.101,garden,0.080
debase,0.117,abound,0.101,spot,0.080
entail,0.117,reap,0.101,surround,0.080
unite,0.116,flesh,0.101,laugh,0.079
incur,0.116,groan,0.101,prepare,0.079
obstruct,0.116,variegate,0.101,coat,0.079
despair,0.116,confide,0.101,beard,0.079
reclaim,0.116,swell,0.101,couple,0.079
encroach,0.116,vindicate,0.101,cotton,0.079
perpetrate,0.115,refine,0.101,bottle,0.079
dismay,0.115,consecrate,0.101,fence,0.079
destine,0.115,mortify,0.101,head,0.079
scourge,0.115,mention,0.101,cluster,0.079
surmount,0.115,resign,0.101,fill,0.079
punish,0.115,contend,0.101,labor,0.079
amaze,0.115,dismiss,0.101,pair,0.079
wink,0.115,repose,0.101,box,0.079
throne,0.115,forget,0.101,branch,0.079
contend,0.114,adore,0.101,roof,0.079
revel,0.114,spear,0.100,rave,0.078
relieve,0.114,waft,0.100,border,0.078
vein,0.114,embark,0.100,entrance,0.078
disorder,0.114,tempt,0.100,fox,0.078
dissatisfy,0.114,chime,0.100,boot,0.078
lament,0.114,supplant,0.100,capture,0.078
vent,0.113,pinch,0.100,process,0.078
ransom,0.113,intrude,0.100,book,0.078
expect,0.113,conspire,0.100,contemplate,0.078
regiment,0.113,exterminate,0.100,guard,0.078
torture,0.113,vein,0.100,consume,0.078
interpret,0.113,sojourn,0.100,thread,0.078
endanger,0.113,expose,0.100,feed,0.078
halt,0.113,ripen,0.100,weather,0.078
absent,0.112,plead,0.100,make,0.078
bribe,0.112,bewilder,0.100,reach,0.078
disturb,0.111,abridge,0.100,wine,0.078
tat,0.111,quicken,0.100,announce,0.078
incite,0.111,dissipate,0.100,flock,0.078
behold,0.111,peal,0.100,church,0.078
pollute,0.110,dissolve,0.100,perform,0.078
intoxicate,0.110,fend,0.100,beg,0.078
sicken,0.109,ennoble,0.100,handle,0.078
lurk,0.109,captain,0.100,determine,0.077
denounce,0.109,pardon,0.100,star,0.077
indulge,0.109,roar,0.100,japan,0.077
accuse,0.109,divert,0.100,embrace,0.077
tender,0.108,gleam,0.100,board,0.077
reckon,0.108,compose,0.100,converse,0.077
desire,0.108,increase,0.100,honor,0.077
violate,0.108,interpret,0.100,say,0.077
assay,0.108,decree,0.100,survey,0.077
scatter,0.108,covet,0.100,save,0.077
mine,0.108,reign,0.100,horn,0.077
blame,0.108,civilize,0.100,figure,0.077
sup,0.108,consist,0.100,recline,0.077
oppress,0.107,doom,0.100,negotiate,0.077
lag,0.107,apprehend,0.100,venture,0.077
bargain,0.107,grudge,0.100,pin,0.077
cultivate,0.107,withhold,0.100,deck,0.077
liberate,0.107,yoke,0.100,rear,0.077
hope,0.107,furnish,0.100,glass,0.077
amend,0.107,dedicate,0.100,task,0.077
massacre,0.107,abate,0.100,cause,0.076
preside,0.107,acquaint,0.100,fold,0.076
defray,0.107,remonstrate,0.100,spend,0.076
dismiss,0.107,bid,0.100,bush,0.076
pinch,0.107,dishearten,0.100,expose,0.076
trot,0.107,compel,0.100,twist,0.076
ebb,0.107,impend,0.100,overhang,0.076
disband,0.106,lull,0.100,wall,0.076
deform,0.106,baffle,0.100,replace,0.076
widen,0.106,enhance,0.100,condition,0.076
fear,0.106,reconcile,0.100,match,0.076
rage,0.105,sanction,0.100,trademark,0.076
err,0.105,torment,0.100,prize,0.076
rule,0.105,devour,0.100,age,0.076
acquit,0.105,elapse,0.100,hesitate,0.076
extricate,0.104,nominate,0.100,navigate,0.076
tack,0.104,assassinate,0.100,gather,0.076
suppose,0.104,bleed,0.100,imitate,0.076
tenant,0.104,consign,0.100,shoot,0.076
penetrate,0.104,augment,0.100,differ,0.076
corrupt,0.103,extricate,0.100,freight,0.076
prompt,0.103,profit,0.100,plan,0.076
envy,0.103,retort,0.100,trim,0.075
redouble,0.103,languish,0.100,mouth,0.075
usher,0.103,subside,0.099,snow,0.075
skirmish,0.103,blame,0.099,launch,0.075
depress,0.102,usurp,0.099,release,0.075
infuse,0.102,smelt,0.099,eat,0.075
bound,0.102,scorch,0.099,sound,0.075
redeem,0.102,term,0.099,pole,0.075
invent,0.101,infuse,0.099,hay,0.075
suffice,0.101,massacre,0.099,stock,0.075
poise,0.100,restructure,0.099,subject,0.075
heap,0.100,annex,0.099,resume,0.075
distrust,0.100,overwhelm,0.099,intersect,0.075
unveil,0.100,entangle,0.099,tour,0.075
excuse,0.100,mislead,0.099,receive,0.075
slop,0.099,throb,0.099,talk,0.075
displace,0.099,forbid,0.099,secure,0.075
strain,0.099,scheme,0.099,know,0.075
chronicle,0.099,descry,0.099,boat,0.075
flesh,0.099,impart,0.099,threaten,0.075
frequent,0.099,enclose,0.099,dispatch,0.075
pervert,0.099,condense,0.099,gaze,0.075
verse,0.097,appoint,0.099,article,0.075
hem,0.097,enforce,0.099,celebrate,0.075
deprive,0.097,arouse,0.099,request,0.075
inform,0.097,depend,0.099,occupy,0.075
emit,0.097,ridicule,0.099,foot,0.075
influence,0.097,confer,0.099,play,0.075
privilege,0.097,revenge,0.099,contest,0.075
execute,0.097,deduce,0.099,charm,0.074
hiss,0.096,plunge,0.099,cloud,0.074
tread,0.096,tremble,0.099,brush,0.074
tint,0.096,forfeit,0.099,scratch,0.074
inscribe,0.096,suffice,0.099,notice,0.074
deem,0.096,recount,0.099,taste,0.074
endow,0.096,elude,0.099,incline,0.074
fortify,0.096,welsh,0.099,sex,0.074
follow,0.096,allude,0.099,pop,0.074
embattle,0.096,engender,0.099,speed,0.074
threaten,0.096,heed,0.099,remove,0.074
exult,0.096,bereave,0.099,ridge,0.074
regulate,0.096,sparkle,0.099,term,0.074
sin,0.095,embattle,0.099,bring,0.074
devolve,0.095,influence,0.099,assemble,0.074
overthrow,0.095,invoke,0.099,congratulate,0.074
reinforce,0.095,lavish,0.099,generate,0.074
surpass,0.094,incur,0.099,develop,0.074
divide,0.094,rank,0.099,set,0.074
prick,0.094,afflict,0.099,transport,0.074
succeed,0.094,remain,0.099,stumble,0.074
prosecute,0.093,recite,0.099,drink,0.074
arise,0.093,prejudice,0.099,fret,0.074
imprison,0.093,induce,0.099,move,0.074
urge,0.093,estimate,0.098,measure,0.074
par,0.093,indent,0.098,test,0.074
bleed,0.093,repeat,0.098,raise,0.074
impair,0.093,depose,0.098,shop,0.073
heal,0.093,repress,0.098,joke,0.073
linger,0.093,ascertain,0.098,welcome,0.073
regard,0.093,divine,0.098,speak,0.073
rebel,0.093,muster,0.098,rack,0.073
agree,0.093,return,0.098,hang,0.073
scar,0.092,levy,0.098,praise,0.073
recover,0.092,humble,0.098,produce,0.073
espouse,0.092,vex,0.098,feather,0.073
slave,0.092,regulate,0.098,scramble,0.073
understand,0.092,trot,0.098,assist,0.073
consist,0.092,rejoice,0.098,progress,0.073
resist,0.091,unveil,0.098,lick,0.073
diminish,0.091,dictate,0.098,retrieve,0.073
incorporate,0.091,affect,0.098,awe,0.073
plot,0.091,behold,0.098,crack,0.073
enlighten,0.091,weaken,0.098,wait,0.073
convey,0.090,summon,0.098,gate,0.073
toll,0.090,assail,0.098,cement,0.073
cleanse,0.090,dilate,0.098,beach,0.073
subside,0.090,privilege,0.098,kiss,0.073
baptize,0.090,overpower,0.098,walk,0.073
oust,0.089,droop,0.098,note,0.073
endeavor,0.089,surmise,0.098,rail,0.073
glory,0.089,solicit,0.098,recall,0.073
intend,0.088,chronicle,0.097,extinguish,0.073
till,0.088,deprecate,0.097,cheer,0.073
venture,0.088,feign,0.097,explore,0.073
discipline,0.088,expel,0.097,bend,0.073
curse,0.088,intrigue,0.097,drag,0.073
verge,0.088,drip,0.097,lodge,0.072
animate,0.088,cock,0.097,delight,0.072
resent,0.088,plunder,0.097,place,0.072
expense,0.088,guess,0.097,lumber,0.072
reject,0.088,bless,0.097,contain,0.072
chamber,0.087,enchant,0.097,assess,0.072
exclaim,0.087,soar,0.097,weigh,0.072
frost,0.087,redouble,0.097,knot,0.072
conform,0.087,fasten,0.097,spell,0.072
retard,0.087,mourn,0.097,rope,0.072
discover,0.087,quench,0.097,forward,0.072
profit,0.087,denote,0.097,overlook,0.072
annex,0.086,flit,0.097,gamble,0.072
awaken,0.086,utter,0.097,practice,0.072
burden,0.086,proclaim,0.097,scent,0.072
chap,0.086,quell,0.097,blend,0.072
mourn,0.086,spark,0.097,exercise,0.071
disarm,0.086,corrupt,0.097,reference,0.071
sustain,0.086,anchor,0.097,sight,0.071
trust,0.085,despair,0.097,disclose,0.071
endorse,0.085,quote,0.097,dot,0.071
gore,0.085,revolve,0.097,turn,0.071
digest,0.085,disorder,0.097,lead,0.071
stipulate,0.085,dismay,0.097,embark,0.071
pursue,0.085,deserve,0.097,will,0.071
cock,0.085,chafe,0.097,coast,0.071
rejoice,0.084,seclude,0.097,supply,0.071
accurse,0.084,instruct,0.097,live,0.071
scheme,0.084,distinguish,0.097,come,0.071
lend,0.084,adhere,0.096,doctor,0.071
stave,0.084,absent,0.096,skim,0.071
proceed,0.084,introduce,0.096,sugar,0.071
concur,0.084,assay,0.096,lapse,0.071
pal,0.084,sail,0.096,ring,0.071
authorize,0.084,poison,0.096,open,0.071
intersperse,0.084,inflict,0.096,slip,0.071
persuade,0.084,imagine,0.096,hamper,0.071
convene,0.084,repent,0.096,involve,0.071
revenge,0.083,surge,0.096,clean,0.071
lull,0.083,enrich,0.096,string,0.070
forbid,0.083,redeem,0.096,descend,0.070
pierce,0.083,obliterate,0.096,study,0.070
wend,0.083,spoil,0.096,cross,0.070
overcome,0.083,disclose,0.096,target,0.070
alight,0.083,differ,0.096,cough,0.070
adhere,0.083,prick,0.096,concern,0.070
refresh,0.083,pray,0.096,hop,0.070
charm,0.083,creep,0.096,reproduce,0.070
culminate,0.083,lengthen,0.096,career,0.070
allege,0.082,wrest,0.096,shore,0.070
convulse,0.082,blush,0.096,modify,0.070
cost,0.082,brood,0.096,ship,0.070
flap,0.082,frost,0.096,phrase,0.070
borrow,0.082,disturb,0.096,rally,0.070
educate,0.082,relapse,0.096,water,0.070
imitate,0.082,obstruct,0.096,map,0.070
subscribe,0.082,execute,0.096,flow,0.070
swear,0.082,distrust,0.096,pollute,0.070
conduct,0.082,infect,0.096,sell,0.070
depend,0.082,thwart,0.095,convene,0.070
burst,0.081,celebrate,0.095,middle,0.070
fail,0.081,ordain,0.095,side,0.070
unfold,0.081,desire,0.095,copy,0.070
elect,0.081,storm,0.095,imagine,0.070
oppose,0.081,tack,0.095,prowl,0.070
roar,0.081,succeed,0.095,thank,0.070
distress,0.081,frequent,0.095,bob,0.070
concern,0.081,widen,0.095,glaze,0.069
recede,0.081,encircle,0.095,summit,0.069
publish,0.081,pierce,0.095,include,0.069
subjoin,0.081,behave,0.095,retail,0.069
cheat,0.081,brigade,0.095,engrave,0.069
blacken,0.081,adapt,0.095,locate,0.069
temper,0.080,recommend,0.095,spread,0.069
return,0.080,resolve,0.095,rush,0.069
purpose,0.080,rage,0.095,warn,0.069
manage,0.079,hush,0.095,veil,0.069
pronounce,0.079,quiver,0.095,coordinate,0.069
praise,0.079,defray,0.095,rest,0.069
rein,0.079,suppose,0.095,curtain,0.069
bless,0.079,diversify,0.095,fathom,0.069
persevere,0.079,dream,0.095,depend,0.069
extend,0.079,moor,0.095,anticipate,0.069
accompany,0.079,marry,0.095,repair,0.069
suppress,0.078,tint,0.095,blue,0.069
dilapidate,0.078,tread,0.095,piece,0.069
recall,0.078,intoxicate,0.095,twin,0.069
narrate,0.078,elect,0.095,strip,0.069
enhance,0.078,besiege,0.095,circle,0.068
attest,0.078,writhe,0.095,end,0.068
guess,0.078,reward,0.095,belong,0.068
sacrifice,0.078,devote,0.095,anchor,0.068
chatter,0.077,dignify,0.095,fund,0.068
abstain,0.077,chamber,0.095,downgrade,0.068
commission,0.077,bribe,0.095,tongue,0.068
permit,0.077,savage,0.095,peruse,0.068
shock,0.077,precipitate,0.094,bridge,0.068
ray,0.077,ray,0.094,wipe,0.068
reward,0.077,concur,0.094,wear,0.068
disapprove,0.077,espouse,0.094,bellow,0.068
adjoin,0.077,peg,0.094,deliver,0.068
commemorate,0.077,adjourn,0.094,manage,0.068
insinuate,0.076,deform,0.094,scream,0.068
master,0.076,impair,0.094,weed,0.068
exert,0.076,charm,0.094,terrify,0.068
sneer,0.076,pronounce,0.094,trade,0.068
alarm,0.076,yawn,0.094,pledge,0.068
recount,0.076,defile,0.094,follow,0.068
disgust,0.076,rule,0.094,wander,0.068
garrison,0.076,till,0.094,originate,0.068
smuggle,0.075,purify,0.094,steep,0.068
rhyme,0.075,seduce,0.094,sketch,0.068
