use 1510 1699,,use 1700 1799,,use 1800 1899
encourage,0.075,swamp,0.094,answer,0.068
inaugurate,0.075,praise,0.094,crawl,0.068
inherit,0.075,insist,0.094,snap,0.068
entrust,0.075,impel,0.094,engage,0.068
impoverish,0.075,flog,0.094,boom,0.067
patent,0.075,clatter,0.094,suit,0.067
weaken,0.074,oblige,0.094,cord,0.067
nod,0.074,drown,0.094,subdivide,0.067
brief,0.074,insinuate,0.094,can,0.067
translate,0.074,rout,0.094,regret,0.067
overrule,0.074,devolve,0.094,judge,0.067
value,0.074,extend,0.094,continue,0.067
decay,0.074,convulse,0.094,intervene,0.067
tear,0.074,sacrifice,0.093,reveal,0.067
gentle,0.074,wag,0.093,clap,0.067
deduce,0.074,recruit,0.093,tease,0.067
scribe,0.074,deny,0.093,examine,0.067
fade,0.074,persecute,0.093,arm,0.067
contain,0.073,stave,0.093,organize,0.067
abound,0.073,remainder,0.093,justify,0.067
scorch,0.073,falter,0.093,feast,0.067
reach,0.073,convey,0.093,alarm,0.067
shriek,0.073,prosecute,0.093,attend,0.067
forget,0.073,regiment,0.093,stress,0.067
promulgate,0.073,retreat,0.093,park,0.067
wreathe,0.073,engrave,0.093,comfort,0.066
savage,0.073,sever,0.093,afford,0.066
charter,0.072,depart,0.093,describe,0.066
infect,0.072,pour,0.093,dare,0.066
abuse,0.072,fortify,0.093,write,0.066
discourage,0.072,pry,0.093,construct,0.066
pass,0.072,excel,0.093,plant,0.066
gag,0.072,frighten,0.093,survive,0.066
uncover,0.072,shroud,0.093,flutter,0.066
complete,0.072,endeavor,0.093,smoke,0.066
propose,0.072,cram,0.093,maintain,0.066
revolt,0.072,ding,0.092,infect,0.066
obscure,0.071,err,0.092,demonstrate,0.066
instruct,0.071,prowl,0.092,alternate,0.066
facilitate,0.071,expect,0.092,flare,0.066
devote,0.071,wreathe,0.092,total,0.065
enforce,0.071,compile,0.092,clear,0.065
proclaim,0.071,blight,0.092,amount,0.065
disclose,0.071,hum,0.092,click,0.065
injure,0.071,abstract,0.092,squeeze,0.065
mislead,0.071,accede,0.092,flee,0.065
disperse,0.071,muffle,0.092,dye,0.065
navigate,0.071,entice,0.092,neighbor,0.065
participate,0.071,suppress,0.092,balance,0.065
mark,0.071,din,0.092,ferry,0.065
shipwreck,0.070,harry,0.092,whitewash,0.065
acquire,0.070,constitute,0.092,wheel,0.065
sanction,0.070,banish,0.092,aim,0.065
consume,0.070,glory,0.092,sink,0.065
license,0.070,scatter,0.092,serve,0.065
revive,0.070,swear,0.092,tell,0.065
join,0.070,sneer,0.092,order,0.065
fret,0.070,mistake,0.092,mother,0.065
fathom,0.070,laud,0.092,well,0.065
bolster,0.070,scribe,0.092,fly,0.065
determine,0.070,glide,0.092,bubble,0.065
spoil,0.070,shanghai,0.092,train,0.065
grasp,0.070,oppress,0.092,annoy,0.065
revoke,0.070,stain,0.092,braid,0.064
supply,0.070,heap,0.092,award,0.064
prey,0.070,unfold,0.091,grip,0.064
struggle,0.070,adjoin,0.091,startle,0.064
inculcate,0.069,howl,0.091,edge,0.064
stumble,0.069,account,0.091,surface,0.064
transmit,0.069,beg,0.091,bother,0.064
retort,0.069,throne,0.091,ask,0.064
yield,0.069,discourage,0.091,bar,0.064
miss,0.069,fail,0.091,base,0.064
civilize,0.069,skim,0.091,home,0.064
sigh,0.069,dilute,0.091,coach,0.064
relapse,0.069,cancel,0.091,corner,0.064
bob,0.068,tease,0.091,hurl,0.064
salute,0.068,bury,0.091,congregate,0.064
waver,0.068,wail,0.091,associate,0.064
combine,0.068,stratify,0.091,carpet,0.064
spear,0.068,moon,0.091,worship,0.064
fare,0.068,undulate,0.091,stick,0.064
invade,0.068,necessitate,0.091,tuck,0.063
whirl,0.068,menace,0.091,pitch,0.063
detail,0.068,melt,0.090,down,0.063
rank,0.067,trip,0.090,curb,0.063
presume,0.067,rename,0.090,relax,0.063
repeat,0.067,hail,0.090,land,0.063
ram,0.067,dare,0.090,fall,0.063
last,0.067,amend,0.090,demand,0.063
ply,0.067,fathom,0.090,court,0.063
plunge,0.067,append,0.090,stoop,0.063
effect,0.067,rise,0.090,crumble,0.063
partake,0.067,alter,0.090,bleach,0.063
trouble,0.067,avert,0.090,torment,0.063
dam,0.067,originate,0.090,breeze,0.062
commit,0.067,decay,0.090,number,0.062
credit,0.067,drench,0.090,bite,0.062
enrage,0.067,amuse,0.090,believe,0.062
defend,0.066,value,0.090,wrestle,0.062
even,0.066,whip,0.090,hand,0.062
distinguish,0.066,thrust,0.090,cut,0.062
shorten,0.066,cough,0.090,like,0.062
wan,0.066,flicker,0.090,quote,0.062
confirm,0.066,rebel,0.090,occasion,0.062
flee,0.066,revise,0.090,ease,0.062
howl,0.066,curse,0.090,leap,0.062
achieve,0.066,compass,0.090,blood,0.062
intensify,0.066,conceal,0.090,wrinkle,0.062
border,0.065,tear,0.090,run,0.062
contradict,0.065,demand,0.090,rent,0.062
belong,0.065,kidnap,0.090,enjoy,0.062
charge,0.065,refrain,0.090,cheek,0.062
wive,0.065,surpass,0.090,slope,0.062
rival,0.065,delay,0.090,tire,0.062
please,0.065,shiver,0.090,apply,0.062
forecast,0.064,entitle,0.090,lap,0.062
twinkle,0.064,flock,0.090,effect,0.062
reform,0.064,project,0.090,bowl,0.062
anchor,0.064,persevere,0.090,splash,0.062
visit,0.064,translate,0.090,gravel,0.062
whip,0.064,imprison,0.090,exchange,0.062
shame,0.064,discover,0.090,yearn,0.062
dawn,0.063,reform,0.089,shame,0.062
hire,0.063,mother,0.089,row,0.062
fling,0.063,dissent,0.089,average,0.062
greet,0.063,pioneer,0.089,become,0.061
remember,0.062,illustrate,0.089,control,0.061
migrate,0.062,bound,0.089,bronze,0.061
surmise,0.062,accrue,0.089,breast,0.061
destroy,0.062,strengthen,0.089,warm,0.061
cough,0.062,sow,0.089,collapse,0.061
conflict,0.062,remember,0.089,heat,0.061
frank,0.062,assign,0.089,jump,0.061
scour,0.062,violate,0.089,desert,0.061
deter,0.062,taper,0.089,ruin,0.061
anoint,0.062,flood,0.089,riot,0.061
consider,0.062,transpire,0.089,narrow,0.061
habit,0.061,ally,0.089,form,0.061
thrash,0.061,establish,0.089,visit,0.061
doom,0.061,convict,0.089,foil,0.061
debate,0.061,exploit,0.089,propel,0.061
suspect,0.061,brew,0.089,overshadow,0.061
become,0.061,ebb,0.089,square,0.060
wring,0.061,cloud,0.089,humiliate,0.060
well,0.061,startle,0.089,focus,0.060
redden,0.061,rag,0.088,mean,0.060
persecute,0.061,trust,0.088,decide,0.060
handle,0.061,thunder,0.088,seem,0.060
sob,0.060,tone,0.088,hedge,0.060
reek,0.060,swallow,0.088,appropriate,0.060
smelt,0.060,overcome,0.088,glare,0.060
tax,0.060,whirl,0.088,switch,0.060
grapple,0.060,signify,0.088,float,0.060
repent,0.060,penetrate,0.088,hug,0.060
pioneer,0.060,envelop,0.088,mail,0.060
weave,0.060,rivet,0.088,rescue,0.060
magnify,0.060,attest,0.088,catch,0.060
throb,0.060,conduct,0.088,fluctuate,0.060
crave,0.060,authorize,0.088,shave,0.060
hush,0.060,comment,0.088,angle,0.060
lash,0.060,recall,0.088,thirst,0.060
regret,0.059,refer,0.088,debate,0.060
clamber,0.059,bustle,0.088,shanghai,0.060
alternate,0.059,peep,0.088,invent,0.060
learn,0.059,unite,0.088,specify,0.059
impregnate,0.059,vent,0.088,blame,0.059
possess,0.059,stag,0.088,concentrate,0.059
delight,0.059,heal,0.088,fascinate,0.059
empower,0.059,shuffle,0.087,shoulder,0.059
writhe,0.059,sustain,0.087,belt,0.059
labor,0.059,clench,0.087,contract,0.059
acknowledge,0.059,ejaculate,0.087,peep,0.059
reside,0.059,extract,0.087,earn,0.059
thunder,0.059,embroider,0.087,scout,0.059
quarry,0.059,narrate,0.087,state,0.059
mistake,0.059,weigh,0.087,puff,0.059
perch,0.059,commission,0.087,level,0.059
trickle,0.058,allege,0.087,stable,0.059
gild,0.058,adopt,0.087,check,0.059
import,0.058,command,0.087,take,0.059
chance,0.058,count,0.087,rain,0.059
avert,0.058,kiss,0.087,go,0.059
love,0.058,bolster,0.087,whirl,0.059
rise,0.058,magnify,0.087,wash,0.059
tuck,0.058,verse,0.087,hire,0.059
transform,0.058,yield,0.087,carry,0.059
envelop,0.058,castle,0.087,absorb,0.059
bruise,0.058,corroborate,0.087,chalk,0.059
shoulder,0.058,endanger,0.087,call,0.059
extort,0.058,wive,0.087,post,0.059
peruse,0.058,consider,0.087,shade,0.059
cross,0.058,braid,0.087,disappear,0.059
free,0.058,waver,0.087,qualify,0.058
advise,0.057,price,0.087,offset,0.058
soar,0.057,blaze,0.087,whistle,0.058
fascinate,0.057,invade,0.087,choose,0.058
peg,0.057,hem,0.086,quarter,0.058
glide,0.057,pirate,0.086,tap,0.058
entitle,0.057,gild,0.086,soldier,0.058
speed,0.057,commemorate,0.086,chase,0.058
spirit,0.057,ply,0.086,stem,0.058
favor,0.057,chill,0.086,reassure,0.058
adduce,0.057,fold,0.086,corroborate,0.058
port,0.057,slip,0.086,wrap,0.058
advance,0.057,animate,0.086,prejudice,0.058
elapse,0.056,powder,0.086,double,0.058
concede,0.056,phrase,0.086,consult,0.058
contribute,0.056,bloom,0.086,crest,0.058
contemplate,0.056,miss,0.086,erase,0.058
know,0.056,restrain,0.086,rebuild,0.058
differ,0.056,wilt,0.086,hit,0.058
faint,0.056,credit,0.086,rejoice,0.058
yearn,0.056,harm,0.086,ball,0.058
bellow,0.056,administer,0.086,submit,0.058
escape,0.055,glitter,0.086,damage,0.058
fast,0.055,page,0.086,buy,0.058
wonder,0.055,wish,0.086,step,0.058
sever,0.055,hesitate,0.086,gain,0.057
evacuate,0.055,strike,0.086,exist,0.057
troop,0.055,annoy,0.086,sing,0.057
remainder,0.054,faint,0.086,pile,0.057
terrify,0.054,clamber,0.086,lease,0.057
command,0.054,interrupt,0.086,issue,0.057
blast,0.054,fox,0.086,detect,0.057
impel,0.054,contract,0.086,decompose,0.057
prejudice,0.054,expense,0.086,hover,0.057
afford,0.054,graze,0.086,hound,0.057
crest,0.053,gallop,0.086,ice,0.057
minister,0.053,pursue,0.086,greet,0.057
blaze,0.053,ram,0.086,see,0.057
trace,0.053,overtake,0.086,harm,0.057
allude,0.053,fling,0.086,bare,0.057
transpire,0.053,shelve,0.085,bird,0.057
overturn,0.053,burst,0.085,avail,0.057
worry,0.053,moonlight,0.085,approach,0.057
char,0.053,inherit,0.085,bank,0.057
feast,0.053,sigh,0.085,contrast,0.057
harm,0.053,retard,0.085,feel,0.057
slight,0.053,export,0.085,mantle,0.057
knot,0.053,wine,0.085,paddle,0.057
dare,0.053,shriek,0.085,throne,0.057
subordinate,0.052,recover,0.085,surpass,0.057
shudder,0.052,traverse,0.085,change,0.057
brigade,0.052,char,0.085,drip,0.057
spare,0.052,lag,0.085,wax,0.057
foul,0.052,honor,0.085,alter,0.057
extract,0.052,postpone,0.085,challenge,0.057
dull,0.052,copy,0.085,shell,0.056
lavish,0.052,congratulate,0.085,hook,0.056
withdraw,0.052,frown,0.085,milk,0.056
upgrade,0.052,canton,0.085,schedule,0.056
flock,0.052,certify,0.085,pay,0.056
administer,0.052,fade,0.085,endorse,0.056
slip,0.052,stifle,0.085,sun,0.056
fort,0.051,garrison,0.085,conspire,0.056
indict,0.051,predict,0.085,drain,0.056
pace,0.051,acquit,0.085,slide,0.056
abridge,0.051,acquire,0.085,buck,0.056
slow,0.051,acknowledge,0.085,seek,0.056
tame,0.051,torture,0.085,grain,0.056
support,0.051,illuminate,0.085,lighten,0.056
impeach,0.051,approve,0.085,climb,0.056
clatter,0.051,cost,0.085,fend,0.056
arouse,0.051,sing,0.085,win,0.056
appreciate,0.051,proceed,0.085,elaborate,0.056
fuel,0.050,define,0.085,farm,0.056
copy,0.050,soothe,0.085,extend,0.056
pry,0.050,fear,0.085,separate,0.056
dislike,0.050,expand,0.085,yawn,0.056
maintain,0.050,snake,0.085,shrug,0.056
stroke,0.050,crown,0.084,trust,0.056
protect,0.050,war,0.084,distrust,0.056
subject,0.050,tide,0.084,silver,0.056
canton,0.050,stroke,0.084,mill,0.056
mention,0.050,underlie,0.084,ping,0.056
sadden,0.050,send,0.084,shove,0.056
submit,0.050,terrify,0.084,auction,0.056
confer,0.050,tin,0.084,repel,0.055
refrain,0.049,fascinate,0.084,page,0.055
saddle,0.049,refresh,0.084,print,0.055
enslave,0.049,preach,0.084,intercept,0.055
infest,0.049,wan,0.084,deface,0.055
knight,0.049,sob,0.084,intend,0.055
sentence,0.049,salute,0.084,uncover,0.055
pelt,0.049,pale,0.084,eliminate,0.055
state,0.049,pollute,0.084,bolt,0.055
engrave,0.049,oust,0.084,clerk,0.055
marry,0.049,edit,0.084,bread,0.055
beckon,0.049,join,0.084,keep,0.055
startle,0.049,invite,0.084,preclude,0.055
decrease,0.049,gin,0.084,sign,0.055
detect,0.049,ache,0.084,add,0.055
cause,0.049,delight,0.084,brim,0.055
route,0.049,sequester,0.084,provide,0.055
lose,0.049,reclaim,0.084,crow,0.054
resolve,0.049,dun,0.084,breathe,0.054
ridicule,0.048,curl,0.084,blossom,0.054
amuse,0.048,stimulate,0.084,verify,0.054
station,0.048,dispatch,0.084,push,0.054
impede,0.048,shatter,0.084,swing,0.054
dot,0.048,subscribe,0.084,return,0.054
decline,0.048,wave,0.084,proclaim,0.054
generate,0.048,excuse,0.084,put,0.054
sympathize,0.048,subject,0.084,forbid,0.054
tolerate,0.047,propose,0.084,toss,0.054
embrace,0.047,dine,0.083,worry,0.054
idle,0.047,submit,0.083,power,0.054
captain,0.047,venture,0.083,raid,0.054
glance,0.047,marvel,0.083,want,0.054
recruit,0.047,queen,0.083,sew,0.054
multiply,0.047,enact,0.083,man,0.054
order,0.047,furrow,0.083,lean,0.054
ascertain,0.047,relieve,0.083,alienate,0.054
annoy,0.047,molest,0.083,tune,0.054
wrinkle,0.047,limp,0.083,observe,0.054
eagle,0.047,punish,0.083,cup,0.053
peep,0.047,justify,0.083,ground,0.053
skin,0.047,patent,0.083,disgust,0.053
shroud,0.047,knight,0.083,admire,0.053
remind,0.047,discipline,0.083,jar,0.053
drift,0.046,fund,0.083,enchant,0.053
diversify,0.046,culminate,0.083,block,0.053
levy,0.046,bolt,0.083,grass,0.053
muffle,0.046,abuse,0.083,find,0.053
rescue,0.046,author,0.083,crouch,0.053
necessitate,0.046,hate,0.083,expect,0.053
appropriate,0.046,reprint,0.083,ding,0.053
teach,0.046,think,0.083,dust,0.053
overtake,0.046,witness,0.083,solve,0.053
perpetuate,0.046,eclipse,0.083,grey,0.053
recognize,0.046,spirit,0.083,hatch,0.053
circulate,0.046,stumble,0.082,protect,0.052
grow,0.046,belong,0.082,rival,0.052
reassure,0.046,disperse,0.082,drop,0.052
occasion,0.046,generate,0.082,pierce,0.052
chime,0.046,japan,0.082,feign,0.052
prostrate,0.046,multiply,0.082,hill,0.052
limp,0.045,embody,0.082,regard,0.052
accommodate,0.045,report,0.082,send,0.052
encircle,0.045,impoverish,0.082,revert,0.052
raid,0.045,deter,0.082,echo,0.052
mingle,0.045,grumble,0.082,support,0.052
guide,0.045,brief,0.082,remain,0.052
honor,0.045,visit,0.082,polish,0.052
pledge,0.045,resist,0.082,hide,0.052
die,0.045,tender,0.082,nestle,0.052
condition,0.045,prostrate,0.082,mud,0.052
like,0.045,enable,0.082,freeze,0.052
ruffle,0.044,frank,0.082,pet,0.052
tan,0.044,wonder,0.082,bed,0.052
emanate,0.044,addict,0.082,depart,0.052
distance,0.044,blast,0.082,cook,0.052
dissent,0.044,revel,0.082,fort,0.052
need,0.044,extinguish,0.082,forge,0.051
arch,0.044,escort,0.082,sit,0.051
increase,0.044,borrow,0.082,affect,0.051
snatch,0.044,bellow,0.082,pool,0.051
practice,0.044,port,0.081,volunteer,0.051
rush,0.044,cruise,0.081,mock,0.051
ping,0.044,polish,0.081,confront,0.051
welcome,0.044,coil,0.081,summon,0.051
corner,0.044,host,0.081,try,0.051
blockade,0.044,condition,0.081,bake,0.051
dun,0.044,survey,0.081,retire,0.051
assemble,0.044,reinforce,0.081,club,0.051
equal,0.044,stream,0.081,unveil,0.051
chant,0.044,usher,0.081,evaporate,0.051
restrain,0.044,detect,0.081,dangle,0.051
hint,0.044,dawn,0.081,suck,0.051
remain,0.043,stone,0.081,perfect,0.051
pave,0.043,wake,0.081,pink,0.051
fall,0.043,revoke,0.081,embroider,0.051
sun,0.043,pound,0.081,shudder,0.051
abolish,0.043,satisfy,0.081,plaster,0.051
risk,0.043,slash,0.081,need,0.051
corroborate,0.043,debate,0.081,confirm,0.051
awe,0.043,jar,0.081,elicit,0.051
shelve,0.043,reek,0.081,carve,0.051
wrong,0.043,attract,0.081,urge,0.051
menace,0.043,rustle,0.081,shine,0.051
surrender,0.043,transmit,0.081,hear,0.051
felt,0.043,follow,0.081,kick,0.051
worst,0.043,desert,0.081,stay,0.051
hound,0.043,poise,0.081,gun,0.050
invite,0.042,sicken,0.080,petition,0.050
berth,0.042,fowl,0.080,queen,0.050
pride,0.042,mangle,0.080,pass,0.050
deal,0.042,impeach,0.080,stain,0.050
behave,0.042,combine,0.080,puzzle,0.050
blight,0.042,agitate,0.080,shift,0.050
condescend,0.042,salt,0.080,poke,0.050
anticipate,0.042,bell,0.080,smother,0.050
induce,0.042,bristle,0.080,complete,0.050
reel,0.042,dam,0.080,brood,0.050
begin,0.042,live,0.080,propagate,0.050
serve,0.042,reserve,0.080,curl,0.050
boost,0.042,spike,0.080,resist,0.050
coil,0.042,alight,0.080,bet,0.050
welsh,0.042,overthrow,0.080,rid,0.050
hurl,0.042,overturn,0.080,oppose,0.050
equip,0.042,grow,0.080,rice,0.050
desert,0.042,equal,0.080,bottom,0.050
prove,0.041,ransom,0.080,caution,0.050
frown,0.041,tan,0.080,coin,0.050
affix,0.041,reef,0.080,score,0.050
preserve,0.041,study,0.080,digest,0.049
take,0.041,obtain,0.080,gag,0.049
form,0.041,feed,0.080,fetch,0.049
escort,0.041,discontent,0.080,enter,0.049
war,0.041,predominate,0.080,race,0.049
come,0.041,shame,0.080,shake,0.049
think,0.041,march,0.080,roll,0.049
collect,0.041,stagger,0.080,convert,0.049
sequester,0.041,alarm,0.080,guide,0.049
pain,0.040,remind,0.080,plate,0.049
receive,0.040,flap,0.080,spin,0.049
spend,0.040,coin,0.080,wet,0.049
secure,0.040,church,0.080,throw,0.049
confuse,0.040,invent,0.080,dance,0.049
waste,0.040,sadden,0.079,bound,0.049
page,0.040,neighbor,0.079,loom,0.049
harden,0.040,reappear,0.079,witness,0.049
prowl,0.040,recess,0.079,mask,0.049
pay,0.040,last,0.079,scrap,0.049
second,0.040,brighten,0.079,fork,0.049
stun,0.040,die,0.079,pull,0.048
mangle,0.040,observe,0.079,shadow,0.048
swallow,0.039,thrill,0.079,discourage,0.048
bewilder,0.039,spend,0.079,single,0.048
crown,0.039,echo,0.079,pump,0.048
cure,0.039,thatch,0.079,conquer,0.048
mantle,0.039,evolve,0.079,lecture,0.048
seed,0.039,pearl,0.079,fuel,0.048
bin,0.039,stab,0.079,classify,0.048
let,0.039,sentence,0.079,ford,0.048
grip,0.039,collect,0.079,brace,0.048
expand,0.039,saturate,0.079,marvel,0.048
launch,0.039,minister,0.079,correct,0.048
refer,0.039,disapprove,0.079,deter,0.048
appeal,0.039,scotch,0.079,chance,0.048
excel,0.039,greet,0.079,draw,0.048
flank,0.038,encourage,0.079,slump,0.048
contract,0.038,toll,0.079,repress,0.048
brace,0.038,eject,0.078,tow,0.048
better,0.038,arrive,0.078,shoe,0.048
substitute,0.038,verge,0.078,learn,0.048
sense,0.038,cling,0.078,bell,0.048
complain,0.038,tend,0.078,draft,0.048
relate,0.038,transform,0.078,break,0.048
save,0.038,master,0.078,mount,0.048
heat,0.038,scream,0.078,guarantee,0.048
undulate,0.038,crow,0.078,get,0.048
load,0.038,scar,0.078,shill,0.048
peer,0.038,dip,0.078,comment,0.048
help,0.038,concern,0.078,saddle,0.048
pray,0.038,reside,0.078,flag,0.048
bristle,0.038,rub,0.078,shower,0.048
stress,0.038,flow,0.078,mislead,0.048
thirst,0.038,fort,0.078,lie,0.047
indent,0.038,tat,0.078,calculate,0.047
elaborate,0.038,retire,0.078,spark,0.047
pause,0.038,gore,0.078,decrease,0.047
rifle,0.038,attack,0.078,grind,0.047
coordinate,0.037,disappoint,0.078,excel,0.047
insure,0.037,harass,0.078,complain,0.047
reserve,0.037,patronize,0.077,give,0.047
guard,0.037,escape,0.077,duck,0.047
will,0.037,mingle,0.077,hail,0.047
place,0.037,worship,0.077,kindle,0.047
allow,0.037,emanate,0.077,register,0.047
preach,0.037,smuggle,0.077,harvest,0.047
retire,0.037,mine,0.077,yellow,0.047
occur,0.037,feast,0.077,proof,0.047
bring,0.037,enslave,0.077,compile,0.047
recur,0.037,graduate,0.077,necessitate,0.047
weigh,0.036,educate,0.077,bow,0.047
angle,0.036,hollow,0.077,chain,0.047
transport,0.036,perch,0.077,totter,0.047
exemplify,0.036,bush,0.077,earth,0.047
brim,0.036,emerge,0.077,appeal,0.046
task,0.036,flee,0.077,refund,0.046
row,0.036,name,0.077,wield,0.046
succumb,0.036,emancipate,0.077,commission,0.046
coast,0.036,farm,0.077,deteriorate,0.046
repudiate,0.036,sober,0.077,price,0.046
emigrate,0.036,dance,0.077,chill,0.046
bloom,0.036,cultivate,0.077,receipt,0.046
ascend,0.036,indict,0.077,patronize,0.046
hail,0.036,downgrade,0.077,dream,0.046
lease,0.036,totter,0.077,exploit,0.046
stalk,0.036,delegate,0.077,wonder,0.046
creep,0.036,convene,0.077,claim,0.046
drip,0.036,awe,0.077,shield,0.046
kindle,0.035,bruise,0.077,right,0.046
enable,0.035,reveal,0.077,hat,0.046
attack,0.035,supply,0.077,evacuate,0.046
keep,0.035,strand,0.077,bat,0.046
seek,0.035,gag,0.077,wake,0.046
blood,0.035,preserve,0.077,cave,0.046
top,0.035,dazzle,0.076,glitter,0.045
celebrate,0.035,dart,0.076,handwrite,0.045
officiate,0.035,stress,0.076,graze,0.045
sober,0.035,blood,0.076,whisper,0.045
thank,0.034,compare,0.076,plot,0.045
mother,0.034,moderate,0.076,stipulate,0.045
emerge,0.034,blend,0.076,nail,0.045
dominate,0.034,associate,0.076,teach,0.045
gin,0.034,interest,0.076,pale,0.045
vary,0.034,love,0.076,encourage,0.045
create,0.034,draft,0.076,escape,0.045
moderate,0.034,injure,0.076,charge,0.045
restructure,0.034,intercept,0.076,narrate,0.045
foster,0.034,receive,0.076,brown,0.045
accept,0.034,ruffle,0.076,copper,0.045
compete,0.034,threaten,0.076,educate,0.045
descend,0.034,wrinkle,0.076,read,0.044
question,0.033,characterize,0.076,seduce,0.044
extinguish,0.033,liberate,0.076,revolt,0.044
shiver,0.033,drift,0.076,sequester,0.044
compliment,0.033,decline,0.076,perpetuate,0.044
refinance,0.033,find,0.076,amaze,0.044
fell,0.033,intensify,0.076,lurk,0.044
correct,0.033,eagle,0.076,ripple,0.044
crash,0.033,ditto,0.076,dig,0.044
agitate,0.033,rush,0.076,withdraw,0.044
transact,0.033,calculate,0.076,refinance,0.044
dictate,0.033,clothe,0.076,connect,0.044
lighten,0.033,rival,0.076,cheat,0.044
compile,0.033,crush,0.076,magnify,0.044
gain,0.033,cross,0.076,snatch,0.044
assassinate,0.033,habit,0.075,stone,0.044
congregate,0.033,overshadow,0.075,mourn,0.044
interfere,0.033,win,0.075,possess,0.044
reason,0.033,rally,0.075,scan,0.044
petition,0.032,alienate,0.075,cram,0.044
crack,0.032,sharpen,0.075,dry,0.044
overrun,0.032,spin,0.075,sail,0.044
blossom,0.032,abstain,0.075,dim,0.043
fuse,0.032,urge,0.075,exclude,0.043
communicate,0.032,stoke,0.075,stun,0.043
congratulate,0.032,shout,0.075,rifle,0.043
sour,0.032,recognize,0.075,rake,0.043
hollow,0.032,nestle,0.075,trouble,0.043
forge,0.032,lecture,0.075,grapple,0.043
ache,0.032,grope,0.075,silence,0.043
explore,0.032,hiss,0.075,counter,0.043
bask,0.032,bob,0.075,chuckle,0.043
implement,0.032,thank,0.075,restructure,0.043
pound,0.032,sip,0.075,estimate,0.043
soothe,0.032,weave,0.075,flood,0.043
hurt,0.031,snatch,0.075,knock,0.043
compare,0.031,sympathize,0.075,assume,0.043
ally,0.031,explore,0.075,key,0.043
engage,0.031,shorten,0.075,bark,0.043
operate,0.031,replace,0.075,slow,0.043
rattle,0.031,confederate,0.075,skip,0.042
dim,0.031,burn,0.075,dart,0.042
shanghai,0.031,spring,0.075,sprinkle,0.042
glaze,0.031,tour,0.075,knight,0.042
hate,0.031,earn,0.075,beget,0.042
summit,0.031,seek,0.074,count,0.042
dash,0.031,blockade,0.074,realize,0.042
marvel,0.031,transfer,0.074,contradict,0.042
caress,0.031,flutter,0.074,dawn,0.042
avail,0.031,chap,0.074,dip,0.042
assign,0.031,claim,0.074,recover,0.042
tumble,0.031,welcome,0.074,assassinate,0.042
hesitate,0.030,evaporate,0.074,sparkle,0.042
