use 1510 1699,,use 1700 1799,,use 1800 1899
character,-0.001,league,0.058,scar,0.004
find,-0.001,cure,0.058,aggregate,0.003
swamp,-0.001,aggregate,0.058,bin,0.003
name,-0.002,defend,0.058,loosen,0.003
press,-0.002,cook,0.058,buoy,0.003
subdivide,-0.002,compromise,0.058,divide,0.003
stride,-0.002,jump,0.058,precipitate,0.003
overflow,-0.002,engage,0.058,elude,0.003
warm,-0.002,move,0.058,surrender,0.003
lick,-0.002,knit,0.058,choke,0.003
snake,-0.002,scratch,0.058,bang,0.003
flare,-0.002,avail,0.058,moon,0.003
attach,-0.003,paint,0.058,regulate,0.003
key,-0.003,race,0.058,bequeath,0.003
rent,-0.003,slump,0.058,pinch,0.003
receipt,-0.003,vote,0.058,impair,0.003
smother,-0.003,float,0.057,par,0.003
humiliate,-0.003,twin,0.057,impoverish,0.003
chair,-0.003,flame,0.057,lave,0.003
soak,-0.003,notice,0.057,beat,0.002
experience,-0.003,patch,0.057,even,0.002
kidnap,-0.003,cheek,0.057,baptize,0.002
stir,-0.003,rake,0.057,swamp,0.002
fowl,-0.003,blossom,0.057,restrain,0.002
intersect,-0.003,lease,0.057,bind,0.002
pocket,-0.003,steep,0.057,suffer,0.002
saturate,-0.003,eat,0.057,displace,0.002
wait,-0.003,carpet,0.057,battle,0.002
haul,-0.003,thread,0.057,dissent,0.002
mock,-0.003,decide,0.057,disturb,0.002
rejoin,-0.003,travel,0.057,concur,0.002
sound,-0.003,comfort,0.057,deprecate,0.002
cool,-0.003,market,0.057,devil,0.001
murder,-0.003,happen,0.057,disapprove,0.001
land,-0.003,summit,0.057,revive,0.001
dive,-0.004,express,0.057,strangle,0.001
air,-0.004,hide,0.057,tenant,0.001
totter,-0.004,shoot,0.057,miss,0.001
rid,-0.004,slow,0.057,lend,0.001
survey,-0.004,bread,0.057,accord,0.001
add,-0.004,issue,0.057,recount,0.001
run,-0.004,pump,0.057,succeed,0.001
stone,-0.004,embrace,0.057,plead,0.001
march,-0.004,tolerate,0.057,hoist,0.001
tune,-0.004,rescue,0.057,rhyme,0.001
stratify,-0.004,distract,0.057,vein,0.000
estimate,-0.004,busy,0.057,vent,0.000
include,-0.004,even,0.057,discourse,0.000
imagine,-0.004,decompose,0.056,forget,0.000
vault,-0.004,bleach,0.056,redden,0.000
report,-0.004,number,0.056,acknowledge,-0.000
trap,-0.004,fast,0.056,extort,-0.000
stable,-0.005,hop,0.056,dislike,-0.000
squat,-0.005,coast,0.056,thatch,-0.000
ripple,-0.005,wipe,0.056,insist,-0.000
act,-0.005,appear,0.056,plunder,-0.000
lap,-0.005,knock,0.056,stave,-0.000
sugar,-0.005,understand,0.056,contribute,-0.000
append,-0.005,curtain,0.056,furrow,-0.001
hold,-0.005,distance,0.056,rejoin,-0.001
cap,-0.005,put,0.056,forgive,-0.001
predict,-0.005,overflow,0.056,proceed,-0.001
ban,-0.005,relax,0.056,acquit,-0.001
breeze,-0.005,yellow,0.056,sicken,-0.001
nominate,-0.005,consolidate,0.056,consist,-0.001
fan,-0.005,haul,0.056,retard,-0.001
salt,-0.005,strip,0.056,sneer,-0.001
elbow,-0.005,try,0.056,retort,-0.001
pertain,-0.005,trade,0.056,append,-0.001
ask,-0.005,designate,0.056,vow,-0.001
calculate,-0.005,demolish,0.056,prosecute,-0.001
reef,-0.005,fringe,0.056,civilize,-0.001
respond,-0.005,identify,0.056,remit,-0.001
wine,-0.005,offer,0.056,yield,-0.001
coach,-0.005,board,0.056,spare,-0.002
request,-0.006,plant,0.056,salt,-0.002
glow,-0.006,breed,0.056,invoke,-0.002
climb,-0.006,tip,0.056,sole,-0.002
stall,-0.006,head,0.055,rout,-0.002
bag,-0.006,bowl,0.055,precede,-0.002
overshadow,-0.006,hat,0.055,refresh,-0.002
carry,-0.006,fair,0.055,rank,-0.002
leap,-0.006,bow,0.055,burst,-0.002
recline,-0.006,perfume,0.055,forfeit,-0.002
sip,-0.006,turn,0.055,reform,-0.002
accelerate,-0.006,hood,0.055,mingle,-0.002
revolve,-0.006,stock,0.055,accommodate,-0.002
rain,-0.006,swim,0.055,dictate,-0.002
own,-0.006,disgust,0.055,twinkle,-0.002
rack,-0.006,argue,0.055,settle,-0.002
decide,-0.006,deck,0.055,pervert,-0.003
middle,-0.006,withdraw,0.055,prefer,-0.003
gun,-0.006,power,0.055,infuse,-0.003
submerge,-0.007,access,0.055,fail,-0.003
lodge,-0.007,cave,0.055,delineate,-0.003
disable,-0.007,breeze,0.055,accrue,-0.003
discontinue,-0.007,buy,0.055,enhance,-0.003
wheel,-0.007,post,0.055,disorder,-0.003
taste,-0.007,madden,0.055,hum,-0.003
smile,-0.007,smooth,0.055,moderate,-0.003
excavate,-0.007,upset,0.055,spur,-0.003
glare,-0.007,milk,0.055,impede,-0.003
kick,-0.007,shave,0.055,acquaint,-0.003
parallel,-0.007,possess,0.055,expel,-0.003
object,-0.007,subdivide,0.055,rule,-0.003
spell,-0.007,produce,0.055,plat,-0.003
cement,-0.007,schedule,0.055,solicit,-0.003
throw,-0.007,allow,0.055,premier,-0.003
dip,-0.007,fell,0.055,boil,-0.004
boot,-0.008,compress,0.055,reprint,-0.004
train,-0.008,fight,0.055,verse,-0.004
shuffle,-0.008,plate,0.055,establish,-0.004
yellow,-0.008,lean,0.055,quiver,-0.004
reproduce,-0.008,exchange,0.055,sigh,-0.004
transfer,-0.008,disagree,0.055,advise,-0.004
hammer,-0.008,grass,0.054,soften,-0.004
premise,-0.008,highlight,0.054,cancel,-0.004
stream,-0.008,occasion,0.054,concede,-0.004
push,-0.008,sketch,0.054,shorten,-0.004
look,-0.008,caution,0.054,utter,-0.004
pet,-0.008,stable,0.054,frank,-0.005
bang,-0.008,foil,0.054,induce,-0.005
grate,-0.008,click,0.054,poise,-0.005
rail,-0.009,impact,0.054,laud,-0.005
close,-0.009,question,0.054,shout,-0.005
scratch,-0.009,file,0.054,compose,-0.005
thin,-0.009,brand,0.054,avert,-0.005
read,-0.009,station,0.054,lavish,-0.005
group,-0.009,man,0.054,ditto,-0.005
lecture,-0.009,second,0.054,expense,-0.005
concentrate,-0.009,appreciate,0.054,reclaim,-0.005
phrase,-0.009,sight,0.054,promise,-0.005
cram,-0.009,carry,0.054,suppose,-0.005
bronze,-0.009,break,0.054,indulge,-0.006
cancel,-0.009,advantage,0.054,delay,-0.006
scotch,-0.010,radiate,0.054,savage,-0.006
react,-0.010,hoist,0.054,define,-0.006
scan,-0.010,forward,0.054,tread,-0.006
round,-0.010,wall,0.054,assay,-0.006
show,-0.010,concert,0.053,infest,-0.006
strand,-0.010,communicate,0.053,shipwreck,-0.006
move,-0.010,unload,0.053,profit,-0.006
solve,-0.010,elbow,0.053,fasten,-0.006
sing,-0.010,rifle,0.053,constitute,-0.006
tow,-0.010,route,0.053,beset,-0.006
line,-0.010,challenge,0.053,deepen,-0.006
fence,-0.010,lock,0.053,pronounce,-0.007
dart,-0.010,rest,0.053,free,-0.007
snap,-0.010,sound,0.053,skirmish,-0.007
radiate,-0.010,hole,0.053,scotch,-0.007
pose,-0.010,thrash,0.053,deserve,-0.007
assess,-0.011,bask,0.053,punish,-0.007
spin,-0.011,pit,0.053,administer,-0.007
yell,-0.011,dim,0.053,decay,-0.007
patch,-0.011,design,0.053,sob,-0.007
race,-0.011,change,0.053,doubt,-0.007
shatter,-0.011,lay,0.053,reckon,-0.007
change,-0.011,brush,0.053,scourge,-0.007
puzzle,-0.011,lie,0.052,enumerate,-0.007
compress,-0.011,locate,0.052,heed,-0.007
splash,-0.011,ask,0.052,persuade,-0.007
nestle,-0.011,circle,0.052,mitigate,-0.008
rest,-0.011,field,0.052,shelve,-0.008
joke,-0.011,remove,0.052,bless,-0.008
lead,-0.012,coat,0.052,privilege,-0.008
pearl,-0.012,draw,0.052,prompt,-0.008
stop,-0.012,demonstrate,0.052,tremble,-0.008
live,-0.012,grip,0.052,hiss,-0.008
trail,-0.012,thin,0.052,reproach,-0.008
edge,-0.012,open,0.052,accuse,-0.008
bird,-0.012,seal,0.052,amend,-0.008
dye,-0.012,pain,0.052,poison,-0.008
adjust,-0.012,distribute,0.052,drown,-0.008
counter,-0.012,pause,0.052,diffuse,-0.008
spread,-0.012,lot,0.052,muffle,-0.008
down,-0.012,clerk,0.052,stagger,-0.009
pin,-0.012,gap,0.052,assign,-0.009
blue,-0.013,provide,0.052,surge,-0.009
bridge,-0.013,crawl,0.052,dilute,-0.009
narrow,-0.013,round,0.052,snake,-0.009
spar,-0.013,compete,0.052,reek,-0.009
talk,-0.013,stop,0.052,smite,-0.009
glass,-0.013,narrow,0.052,refine,-0.009
string,-0.013,mix,0.052,gleam,-0.009
wind,-0.013,veil,0.052,thunder,-0.009
reelect,-0.014,occupy,0.052,resign,-0.009
tour,-0.014,run,0.052,elbow,-0.009
thrill,-0.014,rail,0.052,assail,-0.009
hook,-0.014,drain,0.052,alight,-0.009
piece,-0.014,note,0.052,denounce,-0.009
ferry,-0.014,bubble,0.052,frown,-0.009
bounce,-0.014,hit,0.051,enforce,-0.009
interest,-0.014,whistle,0.051,situate,-0.009
roof,-0.014,aim,0.051,berth,-0.010
answer,-0.014,character,0.051,prospect,-0.010
initiate,-0.014,suffocate,0.051,exert,-0.010
match,-0.014,promote,0.051,multiply,-0.010
overlook,-0.014,assemble,0.051,till,-0.010
graze,-0.014,grasp,0.051,mangle,-0.010
designate,-0.014,model,0.051,restore,-0.010
indicate,-0.014,scout,0.051,bristle,-0.010
post,-0.015,body,0.051,dismiss,-0.010
crumble,-0.015,cool,0.051,designate,-0.010
curtain,-0.015,snap,0.051,swell,-0.010
restrict,-0.015,huddle,0.051,deceive,-0.010
breathe,-0.015,divorce,0.051,clamber,-0.011
bottle,-0.015,mill,0.051,oblige,-0.011
hole,-0.015,chair,0.051,gallop,-0.011
can,-0.015,achieve,0.051,anoint,-0.011
leave,-0.015,sleep,0.051,intrigue,-0.011
propel,-0.015,overhang,0.051,ting,-0.011
wish,-0.015,warm,0.051,divest,-0.011
flush,-0.015,mail,0.051,import,-0.011
cotton,-0.015,bottom,0.051,canton,-0.011
mouth,-0.015,boom,0.051,proportion,-0.011
moon,-0.015,collapse,0.051,rein,-0.011
sail,-0.015,progress,0.051,writhe,-0.011
saw,-0.016,receipt,0.051,tat,-0.011
horse,-0.016,dash,0.051,exclaim,-0.011
lounge,-0.016,mud,0.051,degrade,-0.011
laugh,-0.016,care,0.051,prolong,-0.012
exercise,-0.016,surround,0.051,muster,-0.012
sole,-0.016,dot,0.051,trample,-0.012
mature,-0.016,nurse,0.050,abhor,-0.012
dilute,-0.016,joke,0.050,ripen,-0.012
demolish,-0.016,mass,0.050,pelt,-0.012
concert,-0.016,pant,0.050,steamer,-0.012
board,-0.016,pocket,0.050,murmur,-0.012
skim,-0.016,flour,0.050,wag,-0.012
sell,-0.016,boost,0.050,heal,-0.012
comment,-0.016,struggle,0.050,consign,-0.012
flutter,-0.016,rice,0.050,cock,-0.012
sew,-0.017,repel,0.050,flog,-0.012
terrace,-0.017,investigate,0.050,lord,-0.012
bark,-0.017,finance,0.050,transpire,-0.013
identify,-0.017,risk,0.050,burn,-0.013
tide,-0.017,bay,0.050,flit,-0.013
pit,-0.017,modify,0.050,dissolve,-0.013
float,-0.017,string,0.050,hem,-0.013
sleep,-0.017,connect,0.049,voyage,-0.013
age,-0.018,twist,0.049,slop,-0.013
perfume,-0.018,pet,0.049,deprive,-0.013
church,-0.018,chalk,0.049,rage,-0.013
jar,-0.018,commute,0.049,manifest,-0.013
pink,-0.018,eye,0.049,scatter,-0.013
silver,-0.018,rid,0.049,baffle,-0.013
aggregate,-0.018,hold,0.049,lash,-0.013
draft,-0.018,check,0.049,bore,-0.013
term,-0.018,reference,0.049,lament,-0.013
pop,-0.018,corner,0.049,demolish,-0.013
lock,-0.018,spill,0.049,divorce,-0.013
level,-0.018,handle,0.049,rivet,-0.014
see,-0.018,glaze,0.049,fortify,-0.014
hover,-0.019,reopen,0.049,dispose,-0.014
home,-0.019,grind,0.049,convict,-0.014
mass,-0.019,pile,0.049,impeach,-0.014
steep,-0.019,involve,0.049,bosom,-0.014
manufacture,-0.019,roast,0.049,yoke,-0.014
fringe,-0.019,structure,0.049,droop,-0.014
stuff,-0.019,suit,0.049,strive,-0.014
blend,-0.019,absorb,0.049,quarrel,-0.014
bell,-0.019,shine,0.049,assent,-0.014
replace,-0.019,mask,0.049,devote,-0.014
sit,-0.019,line,0.049,radiate,-0.015
imbibe,-0.020,place,0.049,pave,-0.015
inspect,-0.020,fire,0.048,endeavor,-0.015
pile,-0.020,down,0.048,distribute,-0.015
absorb,-0.020,touch,0.048,inhabit,-0.015
organize,-0.020,labor,0.048,defile,-0.015
ship,-0.020,lace,0.048,overthrow,-0.015
separate,-0.020,result,0.048,neglect,-0.015
surprise,-0.020,couple,0.048,ascertain,-0.015
tongue,-0.020,hook,0.048,tramp,-0.015
blush,-0.020,push,0.048,flatter,-0.015
shallow,-0.020,piece,0.048,vanish,-0.016
bake,-0.020,cabin,0.048,sear,-0.016
rig,-0.020,detach,0.048,slat,-0.016
prize,-0.021,respect,0.048,reserve,-0.016
surface,-0.021,level,0.048,tempt,-0.016
chain,-0.021,course,0.048,devastate,-0.016
bar,-0.021,concentrate,0.048,facilitate,-0.016
patronize,-0.021,card,0.048,hew,-0.016
vote,-0.021,right,0.048,undulate,-0.016
brew,-0.021,wear,0.048,throb,-0.016
coke,-0.021,load,0.048,vex,-0.016
highlight,-0.021,shoulder,0.048,divine,-0.016
entertain,-0.021,figure,0.048,befall,-0.017
cord,-0.021,top,0.047,admit,-0.017
demonstrate,-0.021,angle,0.047,suppress,-0.017
date,-0.022,mouth,0.047,penetrate,-0.017
drop,-0.022,hamper,0.047,arouse,-0.017
slide,-0.022,attach,0.047,endow,-0.017
overhang,-0.022,wrap,0.047,confide,-0.017
converse,-0.022,cotton,0.047,entitle,-0.017
chop,-0.022,snow,0.047,exalt,-0.017
empty,-0.022,operate,0.047,enrage,-0.017
flour,-0.022,trigger,0.047,wilt,-0.017
farm,-0.022,border,0.047,reject,-0.017
copper,-0.022,transport,0.047,ransom,-0.017
clasp,-0.022,hover,0.047,provoke,-0.017
people,-0.022,exhaust,0.047,garrison,-0.017
step,-0.023,smile,0.047,irrigate,-0.017
couple,-0.023,paddle,0.047,deny,-0.017
treat,-0.023,scrap,0.047,tarry,-0.017
crush,-0.023,counter,0.047,obey,-0.018
plant,-0.023,stride,0.047,betray,-0.018
intimate,-0.023,fan,0.047,quicken,-0.018
sting,-0.023,trail,0.047,subside,-0.018
yawn,-0.023,dress,0.047,subordinate,-0.018
stand,-0.024,shop,0.047,commend,-0.018
stud,-0.024,blue,0.046,illustrate,-0.018
shoot,-0.024,shill,0.046,bustle,-0.018
detach,-0.024,hand,0.046,abridge,-0.018
open,-0.024,squeeze,0.046,increase,-0.018
suffocate,-0.024,protect,0.046,conceive,-0.018
shell,-0.024,stall,0.046,frighten,-0.018
nurse,-0.024,better,0.046,undertake,-0.018
band,-0.024,tow,0.046,heap,-0.018
mix,-0.024,drink,0.046,levy,-0.018
grind,-0.024,ridge,0.046,preach,-0.018
call,-0.024,hang,0.046,oppress,-0.018
spill,-0.025,bronze,0.046,affirm,-0.018
screw,-0.025,bother,0.046,preside,-0.019
mask,-0.025,match,0.046,enable,-0.019
fetch,-0.025,bare,0.046,dissatisfy,-0.019
classify,-0.025,stand,0.046,dispense,-0.019
thread,-0.025,smell,0.046,deafen,-0.019
ground,-0.025,clear,0.046,exceed,-0.019
fruit,-0.025,stunt,0.046,repudiate,-0.019
fund,-0.025,middle,0.045,reap,-0.019
disagree,-0.025,sit,0.045,peg,-0.019
suggest,-0.025,kick,0.045,sup,-0.019
distribute,-0.025,steer,0.045,frost,-0.019
print,-0.025,crouch,0.045,enrich,-0.019
point,-0.025,see,0.045,hate,-0.019
puff,-0.025,fix,0.045,thwart,-0.019
shoe,-0.025,bar,0.045,displease,-0.019
bay,-0.025,front,0.045,devise,-0.019
earth,-0.026,foam,0.045,dwell,-0.020
riot,-0.026,sprinkle,0.045,declare,-0.020
stock,-0.026,riot,0.045,depose,-0.020
base,-0.026,inspect,0.045,quell,-0.020
say,-0.026,shallow,0.045,peal,-0.020
bottom,-0.026,roof,0.045,overpower,-0.020
carpet,-0.026,average,0.045,relieve,-0.020
buy,-0.027,worsen,0.045,recede,-0.020
switch,-0.027,target,0.044,imbibe,-0.020
smash,-0.027,assess,0.044,supplant,-0.020
fly,-0.027,throw,0.044,slacken,-0.020
bank,-0.027,heat,0.044,assert,-0.020
dig,-0.027,lower,0.044,nourish,-0.020
shake,-0.027,protest,0.044,cleave,-0.020
bend,-0.028,tongue,0.044,besiege,-0.020
bed,-0.028,solve,0.044,profess,-0.021
picture,-0.028,start,0.044,ordain,-0.021
evaporate,-0.028,cup,0.044,ridicule,-0.021
touch,-0.028,hill,0.044,appoint,-0.021
pretend,-0.028,record,0.044,perceive,-0.021
characterize,-0.028,converse,0.044,moor,-0.021
wet,-0.028,fit,0.044,devolve,-0.021
schedule,-0.028,air,0.044,cultivate,-0.021
retail,-0.028,dominate,0.043,woo,-0.021
roast,-0.028,entertain,0.043,faint,-0.021
suit,-0.028,foot,0.043,stow,-0.021
wear,-0.028,do,0.043,intrude,-0.021
squeeze,-0.028,drop,0.043,tint,-0.021
drink,-0.029,cheer,0.043,soar,-0.021
bowl,-0.029,puzzle,0.043,enact,-0.021
remove,-0.029,recline,0.043,arise,-0.021
twin,-0.029,wash,0.043,dedicate,-0.021
man,-0.029,need,0.043,throng,-0.021
pack,-0.029,hammer,0.043,boast,-0.021
nail,-0.029,bud,0.043,limp,-0.021
map,-0.029,isolate,0.043,roar,-0.021
seal,-0.030,style,0.043,exempt,-0.021
brush,-0.030,disguise,0.042,confess,-0.021
ignore,-0.030,gun,0.042,wreathe,-0.021
click,-0.030,seem,0.042,thrust,-0.021
view,-0.030,mature,0.042,debase,-0.021
dance,-0.030,fence,0.042,furnish,-0.021
hand,-0.030,control,0.042,assure,-0.021
chalk,-0.030,tree,0.042,waft,-0.022
tap,-0.031,arrange,0.042,decree,-0.022
shed,-0.031,lumber,0.042,elapse,-0.022
club,-0.031,appropriate,0.042,extricate,-0.022
tighten,-0.031,silver,0.042,suspend,-0.022
milk,-0.031,chain,0.042,clasp,-0.022
adopt,-0.031,sling,0.042,squire,-0.022
dine,-0.031,display,0.042,certify,-0.022
resume,-0.031,kindle,0.042,sow,-0.022
coat,-0.031,railroad,0.042,stifle,-0.022
freeze,-0.032,present,0.042,cling,-0.022
wipe,-0.032,walk,0.042,distinguish,-0.022
postpone,-0.032,loosen,0.041,darken,-0.022
project,-0.032,avoid,0.041,consecrate,-0.022
clerk,-0.032,grain,0.041,pardon,-0.022
bleach,-0.033,offset,0.041,waver,-0.022
register,-0.033,point,0.041,agitate,-0.022
track,-0.033,prevent,0.041,adjourn,-0.022
fight,-0.033,drill,0.041,procure,-0.022
guarantee,-0.033,ball,0.041,convulse,-0.022
poke,-0.033,intimate,0.041,conclude,-0.022
glitter,-0.033,rear,0.041,beckon,-0.022
announce,-0.033,sour,0.041,conform,-0.022
wrap,-0.033,focus,0.041,encircle,-0.022
put,-0.033,cart,0.041,err,-0.022
hug,-0.034,disappear,0.041,seel,-0.022
wax,-0.034,pretend,0.041,seize,-0.022
market,-0.034,damage,0.041,embody,-0.022
foot,-0.034,pair,0.041,blacken,-0.022
tile,-0.034,cover,0.041,withhold,-0.022
pitch,-0.034,disable,0.041,accurse,-0.023
hamper,-0.035,exercise,0.041,intoxicate,-0.023
stroll,-0.035,breast,0.041,wail,-0.023
buoy,-0.035,advertise,0.041,impart,-0.023
set,-0.035,plaster,0.040,adduce,-0.023
league,-0.035,flash,0.040,bespeak,-0.023
beach,-0.035,can,0.040,strengthen,-0.023
sport,-0.036,react,0.040,redouble,-0.023
rope,-0.036,repair,0.040,endear,-0.023
hit,-0.036,ice,0.040,stag,-0.023
cover,-0.036,exhibit,0.040,cripple,-0.023
box,-0.037,bat,0.040,wrest,-0.023
freight,-0.037,incline,0.040,obstruct,-0.023
book,-0.037,pin,0.040,intersperse,-0.023
cook,-0.037,step,0.039,fin,-0.023
testify,-0.037,store,0.039,defy,-0.023
winter,-0.037,pull,0.039,heighten,-0.023
smell,-0.037,shape,0.039,retain,-0.023
reprint,-0.037,look,0.039,correspond,-0.023
knit,-0.037,scent,0.039,devour,-0.023
reference,-0.037,disengage,0.039,insure,-0.023
repel,-0.038,swing,0.039,quench,-0.023
eat,-0.038,back,0.038,affix,-0.023
hop,-0.038,band,0.038,deplore,-0.023
auction,-0.038,group,0.038,transact,-0.023
strip,-0.038,slope,0.038,stoke,-0.023
hide,-0.038,crack,0.038,inculcate,-0.023
smooth,-0.039,picture,0.038,martyr,-0.023
review,-0.039,bag,0.038,surmount,-0.023
lay,-0.040,scale,0.038,condemn,-0.023
twist,-0.040,coke,0.038,comply,-0.023
kiss,-0.040,toss,0.038,dilate,-0.023
describe,-0.040,humiliate,0.037,destine,-0.023
foam,-0.040,camp,0.037,entrust,-0.023
turn,-0.040,belt,0.037,parch,-0.023
fire,-0.041,ford,0.037,transmit,-0.023
lift,-0.041,sink,0.037,befit,-0.023
sex,-0.041,color,0.037,seethe,-0.023
shrug,-0.041,rock,0.037,inflict,-0.023
whistle,-0.042,ease,0.037,reinstate,-0.023
rob,-0.042,amount,0.037,discharge,-0.023
paint,-0.043,seat,0.037,blot,-0.023
drill,-0.043,face,0.037,diminish,-0.023
specify,-0.043,edge,0.037,oust,-0.024
record,-0.043,spar,0.037,seclude,-0.024
rock,-0.043,smoke,0.037,banish,-0.024
parade,-0.043,brown,0.037,enlarge,-0.024
reopen,-0.043,perfect,0.037,inflame,-0.024
burn,-0.043,grapple,0.037,divert,-0.024
duck,-0.044,warehouse,0.037,suffice,-0.024
boat,-0.044,wrestle,0.036,resound,-0.024
smoke,-0.044,gravel,0.036,prevail,-0.024
cabin,-0.044,spot,0.036,overwhelm,-0.024
rename,-0.044,curb,0.036,ennoble,-0.024
swim,-0.044,boot,0.036,enclose,-0.024
foil,-0.044,support,0.036,confine,-0.024
bat,-0.044,help,0.036,shun,-0.024
chew,-0.045,bounce,0.036,rend,-0.024
shape,-0.045,ground,0.036,confer,-0.024
drive,-0.045,home,0.036,grieve,-0.024
argue,-0.045,pop,0.036,bereave,-0.024
wave,-0.045,nail,0.036,afflict,-0.024
write,-0.045,buoy,0.035,abate,-0.024
wash,-0.045,fluctuate,0.035,gratify,-0.024
fork,-0.045,pitch,0.035,dignify,-0.024
flash,-0.046,balance,0.035,perplex,-0.024
bare,-0.046,size,0.035,blight,-0.024
decompose,-0.046,deploy,0.035,perpetrate,-0.024
lie,-0.046,surface,0.035,unite,-0.024
wrestle,-0.046,light,0.035,repose,-0.024
paddle,-0.046,propel,0.035,gall,-0.024
monitor,-0.047,task,0.034,adjoin,-0.024
exhibit,-0.047,decorate,0.034,apprehend,-0.024
lumber,-0.047,wet,0.034,ail,-0.024
isolate,-0.047,specify,0.033,inscribe,-0.024
blow,-0.047,squat,0.033,elate,-0.024
steam,-0.047,discontinue,0.033,compel,-0.024
eliminate,-0.047,switch,0.033,stratify,-0.024
railroad,-0.049,stuff,0.033,owe,-0.024
shop,-0.049,compensate,0.033,descry,-0.024
erase,-0.049,interfere,0.033,encroach,-0.024
sharpen,-0.049,cement,0.033,inaugurate,-0.024
fluctuate,-0.049,monitor,0.033,excite,-0.024
toss,-0.049,drag,0.033,betroth,-0.024
curb,-0.050,base,0.033,mar,-0.024
produce,-0.050,track,0.033,impend,-0.024
pool,-0.050,hug,0.033,render,-0.024
steamer,-0.050,wield,0.032,efface,-0.024
card,-0.050,use,0.032,heave,-0.024
pirate,-0.050,vest,0.032,engender,-0.024
amount,-0.051,crew,0.032,scend,-0.024
rake,-0.051,tighten,0.032,teem,-0.024
stick,-0.052,restrict,0.032,emanate,-0.024
average,-0.052,rig,0.031,dilapidate,-0.024
sketch,-0.053,park,0.031,bewilder,-0.024
clean,-0.053,freight,0.031,strew,-0.024
target,-0.054,shelter,0.031,defray,-0.024
sling,-0.054,view,0.030,exult,-0.024
gravel,-0.054,dry,0.030,scruple,-0.024
ditto,-0.054,rack,0.030,overrun,-0.024
deck,-0.054,rope,0.030,bestow,-0.024
shore,-0.054,gear,0.030,impute,-0.024
slash,-0.055,water,0.030,remonstrate,-0.024
knock,-0.056,people,0.030,augment,-0.024
decorate,-0.056,glass,0.030,enliven,-0.024
cruise,-0.056,sport,0.029,derive,-0.024
bubble,-0.057,bed,0.029,interpose,-0.024
display,-0.057,lap,0.029,impel,-0.025
bustle,-0.057,tire,0.029,daunt,-0.025
park,-0.057,explode,0.029,underlie,-0.025
list,-0.057,service,0.029,avow,-0.025
snow,-0.058,parallel,0.029,forbear,-0.025
pole,-0.059,slide,0.028,subjoin,-0.025
handwrite,-0.060,screen,0.028,languish,-0.025
fish,-0.061,grey,0.028,enjoin,-0.025
exchange,-0.062,clean,0.028,recur,-0.025
trim,-0.062,side,0.028,sojourn,-0.025
walk,-0.063,box,0.028,variegate,-0.025
disappear,-0.063,separate,0.027,usurp,-0.025
shave,-0.064,empty,0.027,awaken,-0.025
sink,-0.064,frame,0.026,accede,-0.025
water,-0.064,lift,0.026,wend,-0.025
cat,-0.066,intervene,0.026,embattle,-0.025
present,-0.066,eliminate,0.026,depute,-0.025
mail,-0.068,climb,0.025,weaken,-0.025
ice,-0.068,adjust,0.023,incur,-0.025
dry,-0.068,object,0.023,vindicate,-0.025
warehouse,-0.068,drive,0.023,succumb,-0.025
plaster,-0.070,wheel,0.023,sanction,-0.025
madden,-0.070,erase,0.022,dishearten,-0.025
single,-0.071,pose,0.022,condescend,-0.025
color,-0.071,pole,0.021,allude,-0.025
swing,-0.071,club,0.021,deem,-0.025
poll,-0.073,shoe,0.020,detach,-0.026
shower,-0.075,assist,0.016,mortify,-0.026
drag,-0.077,cord,0.015,promulgate,-0.026
sweep,-0.083,sweep,0.015,thrash,-0.026
dress,-0.084,organize,0.014,adhere,-0.027
deposit,-0.085,retail,0.007,disperse,-0.027
store,-0.089,tile,0.001,obliterate,-0.035
